cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
571,11312541827496,11312541889048,11312541924934,61.552,35.886,97.438,0
572,11312561827496,11312561888586,11312561924471,61.090,35.885,96.975,0
573,11312581827496,11312581888280,11312581924217,60.784,35.937,96.721,0
574,11312601827496,11312601889120,11312601925005,61.624,35.885,97.509,0
575,11312621827496,11312621888345,11312621924230,60.849,35.885,96.734,0
576,11312641827496,11312641888143,11312641924028,60.647,35.885,96.532,0
577,11312661827496,11312661889451,11312661925337,61.955,35.886,97.841,0
578,11312681827496,11312681888260,11312681924145,60.764,35.885,96.649,0
579,11312701827496,11312701888162,11312701924047,60.666,35.885,96.551,0
580,11312721827496,11312721888012,11312721923897,60.516,35.885,96.401,0
581,11312741827496,11312741888019,11312741923956,60.523,35.937,96.460,0
582,11312761827496,11312761888077,11312761923962,60.581,35.885,96.466,0
583,11312781827496,11312781888083,11312781923969,60.587,35.886,96.473,0
584,11312801827496,11312801888298,11312801924235,60.802,35.937,96.739,0
585,11312821827496,11312821916638,11312821953148,89.142,36.510,125.652,0
586,11312841827496,11312841898259,11312841934717,70.763,36.458,107.221,0
587,11312861827496,11312861890349,11312861926390,62.853,36.041,98.894,0
588,11312881827496,11312881889626,11312881925511,62.130,35.885,98.015,0
589,11312901827496,11312901889372,11312901925257,61.876,35.885,97.761,0
590,11312921827496,11312921889847,11312921925732,62.351,35.885,98.236,0
591,11312941827496,11312941916884,11312941952874,89.388,35.990,125.378,0
592,11312961827496,11312961893089,11312961929234,65.593,36.145,101.738,0
593,11312981827496,11312981890751,11312981926689,63.255,35.938,99.193,0
594,11313001827496,11313001889508,11313001925393,62.012,35.885,97.897,0
595,11313021827496,11313021889566,11313021925451,62.070,35.885,97.955,0
596,11313041827496,11313041889833,11313041925718,62.337,35.885,98.222,0
597,11313061827496,11313061889579,11313061925516,62.083,35.937,98.020,0
598,11313081827496,11313081889481,11313081925366,61.985,35.885,97.870,0
599,11313101827496,11313101890060,11313101925946,62.564,35.886,98.450,0
600,11313121827496,11313121889390,11313121925275,61.894,35.885,97.779,0
601,11313141827496,11313141891896,11313141927781,64.400,35.885,100.285,0
602,11313161827496,11313161889767,11313161925652,62.271,35.885,98.156,0
603,11313181827496,11313181889513,11313181925450,62.017,35.937,97.954,0
604,11313201827496,11313201889311,11313201925196,61.815,35.885,97.700,0
605,11313221827496,11313221889526,11313221925411,62.030,35.885,97.915,0
606,11313241827496,11313241888230,11313241924115,60.734,35.885,96.619,0
607,11313261827496,11313261888236,11313261924122,60.740,35.886,96.626,0
608,11313281827496,11313281888451,11313281924336,60.955,35.885,96.840,0
609,11313301827496,11313301888093,11313301924030,60.597,35.937,96.534,0
610,11313321827496,11313321888828,11313321924714,61.332,35.886,97.218,0
611,11313341827496,11313341888054,11313341923939,60.558,35.885,96.443,0
612,11313361827496,11313361889570,11313361925456,62.074,35.886,97.960,0
613,11313381827496,11313381888431,11313381924316,60.935,35.885,96.820,0
614,11313401827496,11313401888541,11313401924427,61.045,35.886,96.931,0
615,11313421827496,11313421888183,11313421924121,60.687,35.938,96.625,0
616,11313441827496,11313441888346,11313441924231,60.850,35.885,96.735,0
617,11313461827496,11313461888144,11313461924029,60.648,35.885,96.533,0
618,11313481827496,11313481888098,11313481924035,60.602,35.937,96.539,0
619,11313501827496,11313501888261,11313501924146,60.765,35.885,96.650,0
620,11313521827496,11313521889830,11313521925767,62.334,35.937,98.271,0
